module_id,program_uid,education_plan_uid,course_code,course_name_sv,module_order,module_code,module_name_exact,credits_hp,grading_scale,related_learning_outcomes_exact,module_description_exact,source_file,confidence,notes
VGSSY_OMG403_MODULE_004,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",4,0004,"Muntlig examination, individuell (mål 7, 31)",1.0,UG,"7, 31","Muntlig examination, individuell (mål 7, 31) 1.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_005,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",5,0007,"Tentamen, individuell samt klinisk färdighetsträning, individuell (mål 14)",1.0,UG,14,"Tentamen, individuell samt klinisk färdighetsträning, individuell (mål 14) 1.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_006,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",6,0009,"Tentamen, individuell samt klinisk färdighetsträning, individuell (mål 24)",0.5,UG,24,"Tentamen, individuell samt klinisk färdighetsträning, individuell (mål 24) 0.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_007,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",7,0010,"Klinisk examination, individuell (mål 25)",1.5,UV,25,"Klinisk examination, individuell (mål 25) 1.5 hp UV",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_008,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",8,0013,"Seminarium, individuell bedömning (mål 30)",0.5,UG,30,"Seminarium, individuell bedömning (mål 30) 0.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_009,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",9,0016,"Skriftlig examination, grupp med individuell bedömning (mål 36)",0.5,UV,36,"Skriftlig examination, grupp med individuell bedömning (mål 36) 0.5 hp UV",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_010,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",10,0017,"Tentamen, individuell (mål 11, 12)",1.5,UV,"11, 12","Tentamen, individuell (mål 11, 12) 1.5 hp UV",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_011,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",11,0019,"Seminarium individuell bedömning (mål 9, 13, 37)",1.0,UG,"9, 13, 37","Seminarium individuell bedömning (mål 9, 13, 37) 1.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_012,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",12,0020,"Seminarium, individuell bedömning (mål 8)",1.5,UG,8,"Seminarium, individuell bedömning (mål 8) 1.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_013,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",13,0021,"Seminarium, individuell bedömning (mål 26, 28, 29)",3.0,UG,"26, 28, 29","Seminarium, individuell bedömning (mål 26, 28, 29) 3.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
